family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: hotels/business-hotels-in-lugano,0,1,0,0,1
OTHER: hotels/business-hotels-in-luxor,0,1,0,0,1
OTHER: hotels/business-hotels-in-lyon,0,1,0,0,1
OTHER: hotels/business-hotels-in-madeira,0,1,0,0,1
OTHER: hotels/business-hotels-in-madrid,0,1,0,0,1
OTHER: hotels/business-hotels-in-malaga,0,1,0,0,1
OTHER: hotels/business-hotels-in-maldives,0,1,0,0,1
OTHER: hotels/business-hotels-in-mallorca,0,1,0,0,1
OTHER: hotels/business-hotels-in-manila,0,1,0,0,1
OTHER: hotels/business-hotels-in-marrakech,0,1,0,0,1
OTHER: hotels/business-hotels-in-marseille,0,1,0,0,1
OTHER: hotels/business-hotels-in-matera,0,1,0,0,1
OTHER: hotels/business-hotels-in-maui,0,1,0,0,1
OTHER: hotels/business-hotels-in-mauritius,0,1,0,0,1
OTHER: hotels/business-hotels-in-medellin,0,1,0,0,1
OTHER: hotels/business-hotels-in-melbourne,0,1,0,0,1
